sequential,parallel
0.020731,0.024282
0.020247,0.024407
0.020380,0.024457
0.019296,0.030600
0.023996,0.026029
0.021633,0.024955
0.017966,0.027105
0.022541,0.027510
0.021259,0.024827
0.020235,0.024915
0.020171,0.025169
0.020118,0.025180
0.020455,0.026509
0.022816,0.014002
0.016725,0.013303
0.016677,0.029366
0.026288,0.032087
0.022767,0.026527
0.020301,0.024479
0.020318,0.024131
0.020356,0.024514
0.020318,0.024830
0.020231,0.024564
0.020273,0.025046
0.020177,0.025279
0.020258,0.029766
0.018812,0.024049
0.019301,0.023909
0.019530,0.038940
0.015768,0.028770
0.023337,0.027367
0.021283,0.025662
0.020381,0.020536
0.024742,0.030216
0.020854,0.025068
0.021172,0.025179
0.020211,0.024633
0.020277,0.024568
0.020284,0.025277
0.020150,0.024568
0.019123,0.031286
0.022668,0.033045
0.022902,0.026548
0.020229,0.024482
0.020193,0.029728
0.022241,0.024649
0.020468,0.025813
0.020122,0.024914
0.020015,0.024688
0.018883,0.018311
0.022048,0.031653
0.021220,0.025493
0.021245,0.024750
0.020158,0.024429
0.020368,0.024736
0.020109,0.025292
0.020100,0.025513
0.019792,0.031853
0.022364,0.024863
0.019878,0.031880
0.017688,0.013921
0.016490,0.015096
0.016453,0.013704
0.016584,0.021102
0.018376,0.021224
0.020263,0.032480
0.022453,0.024815
0.019950,0.030187
0.017770,0.017482
0.018389,0.033337
0.024919,0.031767
0.021753,0.032266
0.025607,0.026703
0.016905,0.031149
0.024037,0.026708
0.023586,0.027856
0.017655,0.026256
0.023255,0.024927
0.018804,0.024838
0.020211,0.024645
0.019605,0.023926
0.020368,0.034024
0.014355,0.023220
0.019072,0.027799
0.019398,0.026871
0.023298,0.025463
0.020260,0.024717
0.020201,0.024561
0.019961,0.024383
0.020402,0.025663
0.020167,0.025728
0.020108,0.024807
0.019582,0.029985
0.022311,0.031709
0.017119,0.027319
0.020082,0.024707
0.020135,0.024769
0.020252,0.024782
0.020168,0.024396
0.020384,0.024782
0.020234,0.024944
0.020255,0.024116
0.020540,0.024823
0.020480,0.024676
0.020113,0.024425
0.020526,0.024853
0.020131,0.024400
0.020356,0.024421
0.020429,0.025462
0.020175,0.024540
0.020682,0.024653
0.019656,0.031282
0.022403,0.026116
0.019869,0.019734
0.018402,0.023318
0.018356,0.024458
0.021513,0.024765
0.020142,0.023109
0.020290,0.025523
0.020162,0.024720
0.020261,0.024248
0.020484,0.024747
0.020171,0.024135
0.020765,0.029411
0.024352,0.024843
0.020248,0.024817
0.020184,0.024924
0.019630,0.017186
0.020629,0.024690
0.020314,0.024751
